,Symbol,Ensembl
508,Tbr1,ENSMUSG00000035033
509,Ipcef1,ENSMUSG00000064065
510,Lhx2,ENSMUSG00000000247
511,Inha,ENSMUSG00000032968
512,Mpped1,ENSMUSG00000041708
513,Ankrd35,ENSMUSG00000038354
514,Epha4,ENSMUSG00000026235
515,Il1rapl2,ENSMUSG00000059203
516,Sorcs3,ENSMUSG00000063434
517,Kcnj4,ENSMUSG00000044216
518,Necab1,ENSMUSG00000040536
519,Tenm3,ENSMUSG00000031561
520,Vwa5b2,ENSMUSG00000046613
521,Slc6a7,ENSMUSG00000052026
522,Satb1,ENSMUSG00000023927
523,Bcl11a,ENSMUSG00000000861
524,Gsg1l,ENSMUSG00000046182
525,Epha3,ENSMUSG00000052504
526,Unc13b,ENSMUSG00000028456
527,Tenm2,ENSMUSG00000049336
528,Fam19a2,ENSMUSG00000044071
529,Gm27032,ENSMUSG00000098051
530,March1,ENSMUSG00000036469
531,Wfs1,ENSMUSG00000039474
532,Cdh12,ENSMUSG00000040452
533,Prkcg,ENSMUSG00000078816
534,Tacstd2,ENSMUSG00000051397
535,Akap5,ENSMUSG00000021057
536,Nptxr,ENSMUSG00000022421
537,Nol4,ENSMUSG00000041923
538,Ephb6,ENSMUSG00000029869
539,Adcy1,ENSMUSG00000020431
540,Satb2,ENSMUSG00000038331
541,Doc2a,ENSMUSG00000052301
542,Pde1a,ENSMUSG00000059173
543,Lingo1,ENSMUSG00000049556
544,Pamr1,ENSMUSG00000027188
545,Lmo4,ENSMUSG00000028266
546,Bsn,ENSMUSG00000032589
547,Slc8a2,ENSMUSG00000030376
548,Tspan5,ENSMUSG00000028152
549,Mmp17,ENSMUSG00000029436
550,Rasl10a,ENSMUSG00000034209
551,Cwh43,ENSMUSG00000029154
552,Sox5,ENSMUSG00000041540
553,Grik3,ENSMUSG00000001985
554,Figf,ENSMUSG00000031380
555,Arhgap27os2,ENSMUSG00000085360
556,Adamts13,ENSMUSG00000014852
557,B3galt2,ENSMUSG00000033849
558,Fancd2,ENSMUSG00000034023
559,Hpcal4,ENSMUSG00000046093
560,Rtn4r,ENSMUSG00000043811
561,Nr4a2,ENSMUSG00000026826
562,Gtf2a1l,ENSMUSG00000024154
563,Olfm3,ENSMUSG00000027965
564,Kalrn,ENSMUSG00000061751
565,Oprk1,ENSMUSG00000025905
566,Stk32c,ENSMUSG00000015981
567,B3gat2,ENSMUSG00000026156
568,Kcnv1,ENSMUSG00000022342
569,Urah,ENSMUSG00000025481
570,Mef2c,ENSMUSG00000005583
571,Dkkl1,ENSMUSG00000030792
572,Tnnc1,ENSMUSG00000091898
573,Plb1,ENSMUSG00000029134
574,Stx1a,ENSMUSG00000007207
575,Fmnl1,ENSMUSG00000055805
576,Tmem145,ENSMUSG00000043843
577,Krt12,ENSMUSG00000020912
578,BC030499,ENSMUSG00000037593
579,Ephx4,ENSMUSG00000033805
580,Fhl2,ENSMUSG00000008136
581,Nrgn,ENSMUSG00000053310
582,Gm42865,ENSMUSG00000104807
583,Dact2,ENSMUSG00000048826
584,Dusp14,ENSMUSG00000018648
585,Itpka,ENSMUSG00000027296
586,Adamtsl2,ENSMUSG00000036040
587,Rnd1,ENSMUSG00000054855
588,2900055J20Rik,ENSMUSG00000071860
589,Rab40b,ENSMUSG00000025170
590,Cacng3,ENSMUSG00000066189
591,A830009L08Rik,ENSMUSG00000097182
592,Tubgcp2,ENSMUSG00000025474
593,Dlx5,ENSMUSG00000029755
594,Yjefn3,ENSMUSG00000048967
595,Npas1,ENSMUSG00000001988
596,Gm8797,ENSMUSG00000103034
597,Kcnq5,ENSMUSG00000028033
598,Syt6,ENSMUSG00000027849
599,Galnt14,ENSMUSG00000024064
600,Vstm2a,ENSMUSG00000048834
601,Adarb2,ENSMUSG00000052551
602,Grip1,ENSMUSG00000034813
603,Cadps2,ENSMUSG00000017978
604,Trp53i11,ENSMUSG00000068735
605,Fam65b,ENSMUSG00000036006
606,Cnr1,ENSMUSG00000044288
607,Cxcl14,ENSMUSG00000021508
608,Slc17a8,ENSMUSG00000019935
609,Kctd12,ENSMUSG00000098557
610,Cacnb2,ENSMUSG00000057914
611,Fgf11,ENSMUSG00000042826
612,Cpne5,ENSMUSG00000024008
613,Spx,ENSMUSG00000071112
614,Col19a1,ENSMUSG00000026141
615,Eps8,ENSMUSG00000015766
616,Rgs12,ENSMUSG00000029101
617,Lancl3,ENSMUSG00000047344
618,5330429C05Rik,ENSMUSG00000085896
619,Sema3c,ENSMUSG00000028780
620,Stk32b,ENSMUSG00000029123
621,Trpc4,ENSMUSG00000027748
622,Egln3,ENSMUSG00000035105
623,Nrip3,ENSMUSG00000034825
624,Npas3,ENSMUSG00000021010
625,Dlx6os1,ENSMUSG00000090063
626,Wnt5a,ENSMUSG00000021994
627,Adamts18,ENSMUSG00000053399
628,Kcnip1,ENSMUSG00000053519
629,Krt1,ENSMUSG00000046834
630,Krt73,ENSMUSG00000063661
631,Rgs8,ENSMUSG00000042671
632,Neto1,ENSMUSG00000050321
633,Col25a1,ENSMUSG00000058897
634,Abat,ENSMUSG00000057880
635,Frem1,ENSMUSG00000059049
636,Cacna2d3,ENSMUSG00000021991
637,Serpini1,ENSMUSG00000027834
638,Sp8,ENSMUSG00000048562
639,Arl4c,ENSMUSG00000049866
640,Sox1,ENSMUSG00000096014
641,Shisa9,ENSMUSG00000022494
642,St6galnac5,ENSMUSG00000039037
643,Maf,ENSMUSG00000055435
644,Etl4,ENSMUSG00000036617
645,Elmo1,ENSMUSG00000041112
646,Gm9866,ENSMUSG00000094002
647,Clstn3,ENSMUSG00000008153
648,Erbb4,ENSMUSG00000062209
